时间戳,日志级别,线程,类名,消息
2025-01-19 09:00:01.123,INFO,main,o.s.boot.SpringApplication,Starting Application v2.7.0 on pod-user-service-7d9f8b6c5-x4m2n
2025-01-19 09:00:01.456,INFO,main,o.s.boot.SpringApplication,No active profile set falling back to 1 default profile: default
2025-01-19 09:00:02.789,INFO,main,o.s.data.repository.config.RepositoryConfigurationDelegate,Bootstrapping Spring Data JPA repositories in DEFAULT mode
2025-01-19 09:00:03.012,INFO,main,o.s.data.repository.config.RepositoryConfigurationDelegate,Finished Spring Data repository scanning in 45 ms. Found 5 JPA repository interfaces
2025-01-19 09:00:03.234,ERROR,http-nio-8080-exec-5,c.example.service.UserService,"NullPointerException in getUserById
	at com.example.service.UserService.getUserById(UserService.java:45)
	at com.example.controller.UserController.getUser(UserController.java:28)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)"
2025-01-19 09:00:03.456,INFO,main,o.apache.coyote.http11.Http11NioProtocol,Initializing ProtocolHandler [http-nio-8080]
2025-01-19 09:00:03.678,INFO,main,o.apache.catalina.core.StandardService,Starting service [Tomcat]
2025-01-19 09:00:03.890,WARN,http-nio-8080-exec-7,c.example.security.JwtFilter,"JWT验证失败
原因: Token已过期
建议: 请重新登录获取新token
时间: 2025-01-19 09:00:03"
2025-01-19 09:00:04.123,INFO,main,o.a.c.c.C.[Tomcat].[localhost].[/],Initializing Spring embedded WebApplicationContext
2025-01-19 09:00:04.345,ERROR,http-nio-8080-exec-12,c.example.service.OrderService,"订单处理异常
错误代码: ORD-500
错误信息: 库存不足
	商品ID: 12345
	需求数量: 10
	当前库存: 3
	建议: 请调整订单数量或联系供应商"
2025-01-19 09:00:04.567,INFO,main,com.zaxxer.hikari.HikariDataSource,HikariPool-1 - Starting...
2025-01-19 09:00:04.789,INFO,main,com.zaxxer.hikari.HikariDataSource,HikariPool-1 - Start completed
2025-01-19 09:00:05.012,DEBUG,http-nio-8080-exec-3,c.example.dao.UserDao,"执行SQL查询:
SELECT u.id, u.username, u.email, u.phone
FROM users u
WHERE u.status = 'ACTIVE'
	AND u.created_at > '2025-01-01'
ORDER BY u.created_at DESC
LIMIT 100"
2025-01-19 09:00:05.234,INFO,main,org.hibernate.Version,HHH000412: Hibernate ORM core version 5.6.10.Final
2025-01-19 09:00:05.456,ERROR,http-nio-8080-exec-8,c.example.exception.GlobalExceptionHandler,"数据库连接异常
Exception: java.sql.SQLException: Communications link failure
	at com.mysql.cj.jdbc.exceptions.SQLError.createCommunicationsException(SQLError.java:174)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:64)
	at com.zaxxer.hikari.pool.ProxyConnection.checkException(ProxyConnection.java:397)
Root Cause: java.net.ConnectException: Connection refused
	Host: mysql-db.default.svc.cluster.local
	Port: 3306"
2025-01-19 09:00:05.678,INFO,main,org.hibernate.dialect.Dialect,HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2025-01-19 09:00:06.890,WARN,http-nio-8080-exec-15,c.example.controller.FileController,"文件上传失败
原因: 文件大小超限
	上传文件: user_avatar.jpg
	文件大小: 15.2 MB
	最大限制: 10 MB
	建议: 请压缩图片后重试"
2025-01-19 09:00:07.123,INFO,main,o.s.orm.jpa.LocalContainerEntityManagerFactoryBean,Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-19 09:00:07.345,ERROR,async-task-executor-1,c.example.service.EmailService,"邮件发送失败
收件人: user@example.com
主题: 订单确认通知
错误: javax.mail.MessagingException: Could not connect to SMTP host
	at com.sun.mail.smtp.SMTPTransport.openServer(SMTPTransport.java:2064)
	at com.sun.mail.smtp.SMTPTransport.protocolConnect(SMTPTransport.java:712)
详情:
	SMTP服务器: smtp.gmail.com
	端口: 587
	TLS: 已启用"
2025-01-19 09:00:08.567,INFO,main,o.s.boot.web.embedded.tomcat.TomcatWebServer,Tomcat started on port(s): 8080 (http) with context path ''
2025-01-19 09:00:08.789,INFO,main,o.s.boot.SpringApplication,Started Application in 7.666 seconds (JVM running for 8.234)
2025-01-19 09:00:09.012,DEBUG,http-nio-8080-exec-20,c.example.interceptor.LoggingInterceptor,"HTTP请求详情:
Method: POST
URI: /api/orders
Headers:
	Content-Type: application/json
	Authorization: Bearer eyJhbGc...
	User-Agent: Mozilla/5.0
Body:
{
	""userId"": 1001,
	""items"": [{""productId"": 5001, ""quantity"": 2}],
	""totalAmount"": 2999.00
}"
2025-01-19 09:00:09.234,INFO,http-nio-8080-exec-1,o.s.web.servlet.DispatcherServlet,Initializing Servlet 'dispatcherServlet'
2025-01-19 09:00:09.456,WARN,http-nio-8080-exec-25,c.example.validator.OrderValidator,"订单验证警告
问题列表:
	1. 商品数量为0
	2. 收货地址未填写
	3. 支付方式未选择
建议: 请完善订单信息后重新提交"
2025-01-19 09:00:10.123,INFO,http-nio-8080-exec-2,c.example.controller.UserController,Received GET request for /api/users
2025-01-19 09:00:10.345,ERROR,scheduled-task-executor-3,c.example.scheduled.ReportGenerator,"报表生成失败
报表类型: 月度销售汇总
时间范围: 2025-01-01 ~ 2025-01-31
Exception: OutOfMemoryError: Java heap space
	at java.util.Arrays.copyOf(Arrays.java:3332)
	at java.lang.AbstractStringBuilder.ensureCapacityInternal(AbstractStringBuilder.java:124)
当前堆内存:
	已用: 3.8 GB
	最大: 4 GB
	可用: 200 MB"
2025-01-19 09:00:10.567,DEBUG,http-nio-8080-exec-2,o.h.SQL,select user0_.id as id1_0_ from users user0_
2025-01-19 09:00:10.789,INFO,http-nio-8080-exec-2,c.example.service.UserService,Found 25 users in database
2025-01-19 09:00:11.012,INFO,http-nio-8080-exec-3,c.example.controller.AuthController,Login attempt for user: john.doe@example.com
2025-01-19 09:00:11.234,DEBUG,http-nio-8080-exec-3,c.example.service.AuthService,Validating credentials for user: john.doe@example.com
2025-01-19 09:00:11.456,ERROR,http-nio-8080-exec-30,c.example.service.PaymentService,"支付处理异常
订单号: ORD-20250119-001
支付金额: 2999.00 CNY
支付方式: 微信支付
错误信息:
	code: PAYMENT_TIMEOUT
	message: 支付请求超时
	timestamp: 2025-01-19T09:00:11.456Z
Stack Trace:
	at com.example.service.PaymentService.processWeChatPay(PaymentService.java:156)
	at com.example.service.PaymentService.processPayment(PaymentService.java:89)
	at com.example.controller.PaymentController.pay(PaymentController.java:45)
重试策略: 将在30秒后自动重试"
2025-01-19 09:00:11.678,DEBUG,http-nio-8080-exec-3,c.example.security.JwtTokenProvider,Generating JWT token for user ID: 1001
2025-01-19 09:00:11.890,INFO,http-nio-8080-exec-3,c.example.controller.AuthController,User logged in successfully: john.doe@example.com
2025-01-19 09:00:12.123,WARN,health-check-thread,c.example.health.DatabaseHealthCheck,"数据库健康检查失败
检查项目:
	✓ 连接池状态: 正常 (活跃: 5/20)
	✗ 响应时间: 超时 (>5000ms)
	✓ 磁盘空间: 充足 (剩余: 50GB)
	✗ 慢查询数量: 过多 (15个/分钟)
建议操作:
	1. 检查数据库索引
	2. 优化慢查询SQL
	3. 考虑扩容数据库实例"
2025-01-19 09:00:12.345,DEBUG,http-nio-8080-exec-4,c.example.service.OrderService,Validating order items: 3 items
2025-01-19 09:00:12.567,DEBUG,http-nio-8080-exec-4,c.example.service.InventoryService,Checking inventory for product ID: 5001
2025-01-19 09:00:12.789,INFO,http-nio-8080-exec-4,c.example.service.InventoryService,Inventory available for product 5001: 150 units
2025-01-19 09:00:13.012,DEBUG,http-nio-8080-exec-4,o.h.SQL,insert into orders (user_id created_at status total_amount) values (? ? ? ?)
2025-01-19 09:00:13.234,INFO,http-nio-8080-exec-4,c.example.service.OrderService,Order created successfully with ID: 2001
